City,Business Name,Image Source,Rating,Number of Reviews,Categories,Address,Eversports URL
Bottrop,Ramonas Tanzschmiede,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F218993ef-4938-462d-a8bf-e87030d4c154%2Framonas-tanzschmiede-tanzgala-18_06_2023-1985jpg-medium.webp&w=3840&q=75,5.0,11,[],"Ückendorfer Straße 121 , 45886 Gelsenkirchen",https://www.eversports.de/l/poledance/Bottrop
Brandis,Poledancestar,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F192deef2-7990-4e17-8bbb-30a588dfcb7a%2F43jpg-medium.webp&w=3840&q=75,4.9,54,"['Kostenlos Schnuppern', '3 Angebote für Neukund:innen']","Gabelsbergerstraße 1A , 04317 Leipzig",https://www.eversports.de/l/poledance/Brandis
Brandis,PoleFitness Leipzig,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ff7f5f01b-d32f-4282-9ba8-f01ff0d75d95%2Ffa45a596-4583-4006-8455-345e914aaee0jpeg-medium.webp&w=3840&q=75,4.9,10,[],"Salomonstraße 18B , 04103 Leipzig",https://www.eversports.de/l/poledance/Brandis
Braubach,Polefamily-Koblenz,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fd18b8ba6-2a87-45d9-84b2-0a331bc8731e%2Fimage1jpeg-medium.webp&w=3840&q=75,5.0,20,[],"Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Braubach
Braunschweig,T-Tanzstück Braunschweig,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F9d4469d0-cb02-446d-adb5-6e4384508941%2Fstudio1jpg-medium.webp&w=3840&q=75,4.9,35,['4 Angebote für Neukund:innen'],"Berliner Straße 52 , 38104 Braunschweig",https://www.eversports.de/l/poledance/Braunschweig
Braunschweig,PoleRoom Braunschweig,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F35eea91a-bd03-4e30-8139-9d8496b59a03%2Fpoleroomjpeg-2jpg-medium.webp&w=3840&q=75,4.9,40,['3 Angebote für Neukund:innen'],"Büchnerstraße 10 , 38118 Braunschweig",https://www.eversports.de/l/poledance/Braunschweig
Braunschweig,T-Tanzstück Wolfsburg,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6a545e0a-863c-4b73-926a-945b002c2fa0%2F20190405_195334jpg-medium.webp&w=3840&q=75,4.8,20,['5 Angebote für Neukund:innen'],"Borsigstraße 41, 38446 Wolfsburg",https://www.eversports.de/l/poledance/Braunschweig
Burgdorf,Yoga Vidya Burgdorf,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F2b06cb7a-a627-4d21-975c-ff09c2d208c2%2Fpxl_20230513_142045461jpg-medium.webp&w=3840&q=75,5.0,1 Rezension,"['Kostenlos Schnuppern', '3 Angebote für Neukund:innen']","Marktstraße 65 , 31303 Burgdorf",https://www.eversports.de/l/poledance/Burgdorf
Burghausen,Infinity Polesports,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fe985ab77-98b5-45ee-b45d-ddaf724c9f2c%2Finfinity-polesports-raumpng-medium.webp&w=3840&q=75,5.0,32,[],"Martin-Ofner-Straße, 84508 Burgkirchen an der Alz",https://www.eversports.de/l/poledance/Burghausen
Burgwedel,La Belle,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6fc96064-8bcf-444a-a2d3-e3521b3206c5%2F_22b0405jpg-medium.webp&w=3840&q=75,5.0,28,['1 Angebot für Neukund:innen'],"Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/l/poledance/Burgwedel
Burgwedel,Pole Dance Studio Passion Hannover,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fe7553f28-546d-4658-a27b-c4872721e1f9%2Fdruck-17jpg-largejpeg-medium.webp&w=3840&q=75,4.8,14,['1 Angebot für Neukund:innen'],"Büttnerstraße 22 , 30165 Hannover",https://www.eversports.de/l/poledance/Burgwedel
Burgwedel,Yoga Vidya Burgdorf,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F2b06cb7a-a627-4d21-975c-ff09c2d208c2%2Fpxl_20230513_142045461jpg-medium.webp&w=3840&q=75,5.0,1 Rezension,"['Kostenlos Schnuppern', '3 Angebote für Neukund:innen']","Marktstraße 65 , 31303 Burgdorf",https://www.eversports.de/l/poledance/Burgwedel
Burscheid,Pole Paradise,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F463db4b8-85b0-4fbb-8477-bfa03324e2ae%2F17211914_745099798983333_6506084998826309716_ojpg-medium.webp&w=3840&q=75,4.9,63,[],"Ravensburgerstraße 110-112, 50739 Köln",https://www.eversports.de/l/poledance/Burscheid
Burscheid,A heart for poledance,/_next/image?url=%2Fimages%2Fplaceholder-image.webp&w=3840&q=75,4.9,16,[],"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/l/poledance/Burscheid
Burscheid,Dance & Pole Leverkusen,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F64e6e52f-f26c-4ebf-8a0d-4942b8319b67%2Fojz_3590_originaljpeg-medium.webp&w=3840&q=75,5.0,5,[],"Schillerstraße 6 , 51379 Leverkusen",https://www.eversports.de/l/poledance/Burscheid
Burscheid,ANNACONDA Pole & Aerial Sports,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F6a28bfd7-5965-40dc-8432-9eb61f74fff0%2Fcb4_5932jpg-medium.webp&w=3840&q=75,4.9,38,[],"Venloer Straße 601-603 , 50827 Köln",https://www.eversports.de/l/poledance/Burscheid
Burscheid,Dance & Pole Langenfeld,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F1449d6c2-bb77-496b-b969-ef9e374cb3e9%2F4ad835f3-8588-4753-add3-68116c88b829jpeg-medium.webp&w=3840&q=75,0.0,0,[],"Kölner Straße 16 , 40764 Langenfeld (Rheinland)",https://www.eversports.de/l/poledance/Burscheid
